food,protein,carb,fat
"Brócolis, cozido","2,1","4,4","0,5"
"Cenoura, cozida","0,8","6,7","0,2"
"Couve-flor, cozida","1,2","3,9","0,3"
"Alface, crespa, crua","1,3","1,7","0,2"
"Tomate, salada","0,8","5,1","0,0"
Pepino,"0,9","2,0","0,0"
Azeite,"0,0","0,0","100,0"
"Ovo, de galinha, cozido","13,3","0,6","9,5"
"Arroz, tipo 1, cozido","2,5","28,1","0,3"
"Lentilha, cozida","6,3","16,3","0,5"
"Cabola, crua","1,7","8,9","0,1"
"Banana, prata, crua","1,3","26,0","0,1"
"Batata, doce, cozida","0,6","18,4","0,1"
"Aveia, flocos, crua","13,9","66,6","8,5"
"Mel, de abelha","0,0","84,0","0,0"
Castanha do Brasil (Pará),"14,5","15,1","63,5"
"Noz, crua","14,0","18,4","59,4"
Uva passa,"3,7","79,18","0,46"
"Mamão, Papaia, cru","0,5","10,4","0,1"
"Iogurte, sabor morango","2,7","9,7","2,3"
Iogurte de qualquer sabor,"3,46","14,62","3,47"
"Iogurte, natural","4,1","1,9","3,0"
"Leite, de vaca, integral","0,0","0,0","0,0"
Gelatina de qualquer sabor,"0,37","68,86","0,7"
Barra de cereais diet,"5,56","86,36","5,44"
"Açucar, refinado","0,3","99,5","0,0"
"Chocolate, ao leite","7,2","59,6","30,3"
"Pão, integral","7,64","50,61","3,29"
"Pão, trigo, forma, integral ","9,4","49,9","3,7"
"Pão, trigo, francês","8,0","53,6","3,1"
"Queijo branco (Queijo, minas, frescal)","17,4","3,2","20,2"
Margarina,"0,0","0,0","67,4"
Margarina com ou sem sal,"0,9","0,9","80,5"
Peixe ao molho,"19,59","1,08","1,26"
"Batata, inglesa, cozida","1,2","11,9","0,0"
Ameixa,"0,8","13,9","0,0"
Café com leite,"1,72","2,57","1,69"
Ovo de galinha com manteiga/óleo,"13,73","1,22","16,7"
Outros legumes cozidos,"1,24","14,12","0,14"
"Feijão, carioca, cozido ","4,8","13,6","0,5"
"Queijo, requeijão, cremoso","9,6","2,4","23,4"
Suco de abacaxi orgânico,"0,36","12,92","0,12"
"Maçã, Fuji, com casca, crua","0,3","13,9","0,0"
"Café, infusão 10% ","0,7","1,5","0,1"
"Uva, Itália, crua ","0,7","13,6","0,2"
"Presunto, sem capa de gordura ","14,3","2,1","2,7"
"Queijo, mozarela","22,6","3,0","25,2"
"Amêndoa, torrada, salgada","18,6","29,5","47,3"
"Laranja, pêra, suco","0,7","7,6","0,1"
"Doce, de leite, cremoso","5,5","59,5","6,0"
"Morango, cru","0,9","6,8","0,3"
"Frango, sobrecoxa, sem pele, assada","29,2","0,0","12,0"
"Abóbora, cabotian, cozida","1,4","10,8","0,7"
"Maracujá, suco concentrado, envasado","0,8","9,6","0,2"
"Frango, peito, sem pele, grelhado","32,0","0,0","2,5"
"Refrigerante, tipo cola ","0,0","8,7","0,0"
